경찰서이름,경찰서주소,관서
0원휴대폰 동대문경찰서사거리점,서울 동대문구 청량리동 676,0원휴대폰 동대문경찰서사거리점
G car zone 구로경찰서 앞(스페스큐브),서울 구로구 구로동 81-3,G car zone 구로경찰서 앞(스페스큐브)
GS25 혜화경찰서점,서울 종로구 인의동 28-36,GS25 혜화경찰서점
KB국민은행ATM 도봉경찰서,서울 도봉구 창동 18,KB국민은행ATM 도봉경찰서
KB국민은행ATM 동대문경찰서,서울 동대문구 청량리동 229,KB국민은행ATM 동대문경찰서
KB국민은행ATM 수서경찰서,서울 강남구 개포동 14,KB국민은행ATM 수서경찰서
가락2치안센터,서울 송파구 가락동 197-21,가락2치안센터
가락지구대,서울 송파구 가락동 37,가락지구대
가리봉파출소,서울 구로구 가리봉동 136-80,가리봉파출소
가산파출소,서울 금천구 가산동 139-2,가산파출소
가양지구대,서울 강서구 등촌동 706-1,가양지구대
가족간범죄 통합예방지원센터,서울 강북구 번동 619-34,가족간범죄 통합예방지원센터
강남경찰서교차로,서울 강남구 대치동,강남경찰서교차로
강동경찰서 개방화장실,서울 강동구 성내동 541-1,강동경찰서 개방화장실
강북경찰서 교통정보센터,서울 강북구 미아동 857-15,강북경찰서 교통정보센터
강북경찰서 본관 1층 개방화장실,서울 강북구 번동 415-15,강북경찰서 본관 1층 개방화장실
강서경찰서 개방화장실,서울 강서구 화곡동 980-27,강서경찰서 개방화장실
강서경찰서 교통정보센터,서울 강서구 등촌동 649-10,강서경찰서 교통정보센터
강서경찰서 전기차충전소,서울 강서구 화곡동 980-27,강서경찰서 전기차충전소
강일지구대 개방화장실,서울 강동구 강일동 678-3,강일지구대 개방화장실
강일파출소,서울 강동구 강일동 678-3,강일파출소
개봉3치안센터,서울 구로구 개봉동 360-4,개봉3치안센터
개봉지구대,서울 구로구 개봉동 259-1,개봉지구대
개봉치안센터,서울 구로구 개봉동 142-32,개봉치안센터
개포지구대,서울 강남구 개포동 660-1,개포지구대
개화2치안센터,서울 강서구 개화동 442-9,개화2치안센터
거여파출소,서울 송파구 거여동 602,거여파출소
경찰서구내이발관,서울 동대문구 청량리동 54-12,경찰서구내이발관
고덕파출소,서울 강동구 고덕동 494,고덕파출소
고척지구대,서울 구로구 고척동 339-3,고척지구대
곰달래지구대,서울 강서구 화곡동 776-4,곰달래지구대
공덕지구대,서울 마포구 아현동 785,공덕지구대
공항지구대,서울 강서구 방화동 620-111,공항지구대
관수파출소,서울 종로구 관철동 11-19,관수파출소
관악경찰서 주차장1,서울 관악구 봉천동 1695-5,관악경찰서 주차장1
관악경찰서 주차장2,서울 관악구 봉천동 1695-5,관악경찰서 주차장2
관악산지구대,서울 관악구 신림동 808-402,관악산지구대
광나루지구대,서울 광진구 광장동 231-1,광나루지구대
광진경찰서 개방화장실,서울 광진구 구의동 254-32,광진경찰서 개방화장실
광진경찰서 교통정보센터,서울 광진구 능동 18,광진경찰서 교통정보센터
광진경찰서 수사민원상담센터,서울 광진구 구의동 254-32,광진경찰서 수사민원상담센터
광진경찰서 외사계,서울 광진구 구의동 254-32,광진경찰서 외사계
광희지구대,서울 중구 신당동 250-10,광희지구대
교남파출소,서울 종로구 행촌동 180-17,교남파출소
교통정보센터,서울 광진구 능동 18,교통정보센터
구로1치안센터,서울 구로구 구로동 685-243,구로1치안센터
구로2치안센터,서울 구로구 구로동 704-12,구로2치안센터
구로3파출소,서울 구로구 구로동 256-1,구로3파출소
구로경찰서 교통민원실,서울 구로구 구로동 3-25,구로경찰서 교통민원실
구로경찰서 주차장1,서울 구로구 구로동 3-25,구로경찰서 주차장1
구암지구대,서울 관악구 봉천동 1718,구암지구대
구의3치안센터,서울 광진구 구의동 629,구의3치안센터
구의파출소,서울 광진구 구의동 668-2,구의파출소
구일지구대,서울 구로구 구로동 766-238,구일지구대
금천파출소,서울 금천구 시흥동 995-2,금천파출소
금호파출소,서울 성동구 금호동2가 224,금호파출소
길동지구대,서울 강동구 둔촌동 115,길동지구대
길음1치안센터,서울 성북구 길음동 1276-3,길음1치안센터
길음지구대,서울 성북구 길음동 1281-5,길음지구대
까치산지구대,서울 강서구 화곡동 901-14,까치산지구대
낙성대지구대,서울 관악구 봉천동 1620-9,낙성대지구대
난우파출소,서울 관악구 신림동 1735-6,난우파출소
남가좌파출소,서울 서대문구 남가좌동 336-21,남가좌파출소
남대문경찰서 개방화장실,서울 중구 남대문로5가 561,남대문경찰서 개방화장실
남대문경찰서 생활범죄수사팀,서울 중구 남대문로5가 567,남대문경찰서 생활범죄수사팀
남대문경찰서 여성청소년수사팀,서울 중구 남대문로5가 567,남대문경찰서 여성청소년수사팀
남대문경찰서 정보화장비계,서울 중구 남대문로5가 567,남대문경찰서 정보화장비계
남대문경찰서 종합상황실,서울 중구 남대문로5가 567,남대문경찰서 종합상황실
남대문파출소,서울 중구 남창동 51-1,남대문파출소
남태령지구대,서울 서초구 방배동 442-4,남태령지구대
남현파출소,서울 관악구 남현동 1086-1,남현파출소
내곡파출소,서울 서초구 내곡동 404,내곡파출소
노고산치안센터,서울 마포구 노고산동 57-66,노고산치안센터
노량진지구대,서울 동작구 대방동 43-2,노량진지구대
노원경찰서 경무과 개방화장실,서울 노원구 하계동 250,노원경찰서 경무과 개방화장실
노원경찰서 교통센터,서울 노원구 하계동 273-1,노원경찰서 교통센터
노원경찰서 당현지구대 개방화장실,서울 노원구 중계동 511,노원경찰서 당현지구대 개방화장실
노원경찰서 마들지구대 개방화장실,서울 노원구 상계동 681,노원경찰서 마들지구대 개방화장실
노원경찰서 불암지구대 개방화장실,서울 노원구 중계동 359-6,노원경찰서 불암지구대 개방화장실
노원경찰서 월계지구대 개방화장실,서울 노원구 월계동 320-5,노원경찰서 월계지구대 개방화장실
노원경찰서 화랑지구대 개방화장실,서울 노원구 공릉동 567-18,노원경찰서 화랑지구대 개방화장실
노원경찰서교차로,서울 노원구 하계동 288-6,노원경찰서교차로
노원역지구대,서울 노원구 상계동 720-5,노원역지구대
녹번파출소,서울 은평구 녹번동 115-27,녹번파출소
논현1파출소,서울 강남구 논현동 58-13,논현1파출소
논현2파출소,서울 강남구 논현동 89-13,논현2파출소
답십리1치안센터,서울 동대문구 답십리동 530-24,답십리1치안센터
답십리지구대,서울 동대문구 답십리동 1004-1,답십리지구대
당고개파출소,서울 노원구 상계동 117-8,당고개파출소
당곡지구대,서울 관악구 봉천동 969-14,당곡지구대
당산지구대,서울 영등포구 당산동5가 15,당산지구대
당현지구대,서울 노원구 중계동 511,당현지구대
대림3파출소,서울 영등포구 대림동 775-2,대림3파출소
대림지구대,서울 영등포구 대림동 706-8,대림지구대
대방파출소,서울 동작구 대방동 417-4,대방파출소
대왕파출소,서울 강남구 세곡동 120-9,대왕파출소
대조파출소,서울 은평구 대조동 33-54,대조파출소
대치지구대,서울 강남구 대치동 598,대치지구대
대학로파출소,서울 종로구 동숭동 201-10,대학로파출소
도곡지구대,서울 강남구 역삼동 711,도곡지구대
도림치안센터,서울 영등포구 도림동 133-1,도림치안센터
도봉1파출소,서울 도봉구 도봉동 594-24,도봉1파출소
도봉2파출소,서울 도봉구 도봉동 69-2,도봉2파출소
도봉경찰서 민원봉사실,서울 도봉구 창동 18,도봉경찰서 민원봉사실
도봉경찰서교차로,서울 도봉구 창동,도봉경찰서교차로
독산파출소,서울 금천구 독산동 1006-96,독산파출소
돈암지구대,서울 성북구 돈암동 630-5,돈암지구대
동교치안센터,서울 마포구 동교동 179-37,동교치안센터
동대문경찰서 교차로 대여소,서울 동대문구 청량리동 317,동대문경찰서 교차로 대여소
동대문경찰서 교통센터,서울 동대문구 용두동 255-47,동대문경찰서 교통센터
동대문경찰서교차로,서울 동대문구 청량리동,동대문경찰서교차로
동묘파출소,서울 종로구 숭인동 242-7,동묘파출소
둔촌파출소,서울 강동구 둔촌동 170-1,둔촌파출소
등촌2파출소,서울 강서구 등촌동 513-6,등촌2파출소
뚝섬치안센터,서울 성동구 성수동1가 685-580,뚝섬치안센터
마곡지구대,서울 강서구 마곡동 737-19,마곡지구대
마들지구대,서울 노원구 상계동 681,마들지구대
마천파출소,서울 송파구 마천동 127-8,마천파출소
마포경찰서 개방화장실,서울 마포구 아현동 618-1,마포경찰서 개방화장실
망우지구대,서울 중랑구 망우동 489-7,망우지구대
망원2치안센터,서울 마포구 망원동 471-22,망원2치안센터
망원파출소,서울 마포구 망원동 398-1,망원파출소
먹골파출소,서울 중랑구 묵동 120,먹골파출소
메가MGC커피 종로혜화경찰서점,서울 종로구 연지동 203,메가MGC커피 종로혜화경찰서점
면목본동파출소,서울 중랑구 면목동 71-24,면목본동파출소
면목삼팔파출소,서울 중랑구 면목동 1508-3,면목삼팔파출소
명동파출소,서울 중구 명동2가 50-13,명동파출소
명륜파출소,서울 종로구 명륜1가 27-55,명륜파출소
명일파출소,서울 강동구 명일동 47-30,명일파출소
명일파출소 개방화장실,서울 강동구 명일동 47-30,명일파출소 개방화장실
목2지구대,서울 양천구 목동 657-23,목2지구대
무인민원발급창구 동대문경찰서 민원봉사실,서울 동대문구 청량리동 229,무인민원발급창구 동대문경찰서 민원봉사실
무인민원발급창구 종암경찰서,서울 성북구 종암동 3-1260,무인민원발급창구 종암경찰서
무인민원발급창구 중랑경찰서,서울 중랑구 신내동 810,무인민원발급창구 중랑경찰서
문래지구대,서울 영등포구 문래동3가 54-2,문래지구대
문성지구대,서울 금천구 독산동 191-2,문성지구대
문정지구대,서울 송파구 장지동 841,문정지구대
미성파출소,서울 관악구 신림동 1566-34,미성파출소
미아지구대,서울 강북구 미아동 327-1,미아지구대
반포지구대,서울 서초구 반포동 19-13,반포지구대
발산지구대,서울 강서구 내발산동 748-5,발산지구대
방배1파출소,서울 서초구 방배동 924-2,방배1파출소
방배4치안센터,서울 서초구 방배동 821-1,방배4치안센터
방배경찰서 개방화장실,서울 서초구 방배동 455-10,방배경찰서 개방화장실
방이지구대,서울 송파구 방이동 204-8,방이지구대
방학2치안센터,서울 도봉구 방학동 306-41,방학2치안센터
방학파출소,서울 도봉구 방학동 687-3,방학파출소
방화3파출소,서울 강서구 방화동 822,방화3파출소
백산지구대,서울 금천구 시흥동 244-38,백산지구대
번3파출소,서울 강북구 번동 242-6,번3파출소
번동파출소,서울 강북구 번동 410-23,번동파출소
보광파출소,서울 용산구 보광동 223-5,보광파출소
봉화지구대,서울 중랑구 신내동 644-3,봉화지구대
북가좌파출소,서울 서대문구 북가좌동 310-2,북가좌파출소
북아현치안센터,서울 서대문구 북아현동 176-53,북아현치안센터
불광1치안센터,서울 은평구 불광동 13-33,불광1치안센터
불광지구대,서울 은평구 불광동 423-13,불광지구대
불암지구대,서울 노원구 중계동 359-6,불암지구대
사당지구대,서울 동작구 사당동 1021-45,사당지구대
사직파출소,서울 종로구 필운동 139-1,사직파출소
삼각지파출소,서울 용산구 한강로1가 16,삼각지파출소
삼선치안센터,서울 성북구 삼선동3가 68-6,삼선치안센터
삼성1파출소,서울 강남구 삼성동 107-3,삼성1파출소
삼성2파출소,서울 강남구 삼성동 35,삼성2파출소
삼성동자율방범초소,서울 관악구 신림동 808-653,삼성동자율방범초소
삼양파출소,서울 강북구 미아동 867-128,삼양파출소
삼전지구대,서울 송파구 삼전동 62-3,삼전지구대
삼청파출소,서울 종로구 팔판동 56,삼청파출소
상계1파출소,서울 노원구 상계동 1261,상계1파출소
상도2치안센터,서울 동작구 상도동 364-36,상도2치안센터
상도지구대,서울 동작구 상도동 901,상도지구대
상림치안센터,서울 은평구 진관동 15-13,상림치안센터
